,sentence,word_labels
3,METHODS : We obtained fetal ultrasound measures from routine ultrasound examinations for 167 pregnant hazardous drinkers who were enrolled in a brief alcohol intervention study .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O"
4,The fetal measures for women who quit after learning of their pregnancies were compared with measures for women who continued some drinking throughout the course of their pregnancies .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,"Because intensity of alcohol consumption is associated with poorer fetal outcomes , separate analyses were conducted for the heavy ( average of > or=5 drinks per drinking day ) alcohol consumers .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"Fetal measures from the heavy - exposed fetuses were also compared with measures from a nondrinking group that was representative of normal , uncomplicated pregnancies from our clinics .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,Analyses of covariance were used to determine whether there were differences between groups after controlling for influences of gestational age and drug abuse .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,RESULTS : Nearly half of the pregnant drinkers abstained after learning of their pregnancies .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,"When women reportedly quit drinking early in their pregnancies , fetal growth measures were not significantly different from a non - alcohol - exposed group , regardless of prior drinking patterns .","O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
10,Any alcohol consumption postpregnancy recognition among the heavy drinkers resulted in reduced cerebellar growth as well as decreased cranial to body growth in comparison with women who either quit drinking or who were nondrinkers .,"O,B,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,Amphetamine abuse was predictive of larger cranial to body growth ratios .,"O,O,O,O,O,O,O,O,O,O,O,O"
12,CONCLUSIONS : Alterations in fetal biometric measurements were observed among the heavy drinkers only when they continued drinking after becoming aware of their pregnancies .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
13,"Although the reliance on self - reported drinking is a limitation in this study , these findings support the benefits of early abstinence and the potential for ultrasound examinations in the detection of fetal alcohol effects .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,Comparison of sequential cytomegalovirus isolates in a patient with lymphoma and failing antiviral therapy .. BACKGROUND : Long - term anti - cytomegalovirus ( CMV ) treatments in immunocompromised patients are hampered by resistance to antiviral drugs .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,Longitudinal changes in the resistance genotype may depend on changes in selective pressure and the complexity of CMV isolates .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,OBJECTIVE : To evaluate longitudinal changes in the CMV resistance genotype and phenotype along with strain - specific variability in a patient with non - Hodgkin 's lymphoma in whom successive anti - CMV treatments failed .,"O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,O,O,B,O,O,O"
3,STUDY DESIGN : The resistance phenotype and genotype of seven CMV isolates collected from one patient during a 2 - year follow - up period were retrospectively analysed .,"O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"In parallel , we used glycoprotein B ( gB ) genotyping , and a- and UL10 - 13 - sequence analysis to study CMV interstrain variability .","O,O,O,O,O,B,I,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,RESULTS : The patient was infected by at least three CMV strains plus variants of the parental strains .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"Resistance to ganciclovir , cidofovir and foscarnet was successively detected during the follow - up period .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,"UL97 protein kinase changes responsible for resistance to ganciclovir were initially detected at residues 591 and 592 , and then at position 594 .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,"Decreased sensitivity to foscarnet coincided with the appearance of amino acid substitution N495 K in DNA polymerase , whereas cross - resistance to ganciclovir and cidofovir was due to the L501I substitution .","O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,CONCLUSIONS : The CMV isolates obtained from our patient were complex mixtures of strains .,"O,O,O,B,O,O,O,O,O,O,O,O,O,O,O"
10,Changes in resistance genotypes depended on resistance selective pressure and were not linked to interstrain variation .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,"Gastrointestinal hormones / neurotransmitters and growth factors can activate P21 activated kinase 2 in pancreatic acinar cells by novel mechanisms .. P-21 - activated kinases ( PAKs ) are serine / threonine kinases comprising six isoforms divided in two groups , group - I ( PAK1 - 3)/group - II ( PAK4 - 6 ) which play important roles in cell cytoskeletal dynamics , survival , secretion and proliferation and are activated by diverse stimuli .","B,I,O,O,O,O,O,O,O,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"However , little is known about PAKs ability to be activated by gastrointestinal ( GI ) hormones / neurotransmitters / growth - factors .","O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O"
2,We used rat pancreatic acini to explore the ability of GI - hormones / neurotransmitters / growth - factors to activate Group - I - PAKs and the signaling cascades involved .,"O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,I,I,O,O,O,O,O,O"
3,Only PAK2 was present in acini .,"O,O,O,O,O,O,O"
4,"PAK2 was activated by some pancreatic growth - factors [ EGF , PDGF , bFGF ] , by secretagogues activating phospholipase - C ( PLC ) [ CCK , carbachol , bombesin ] and by post - receptor stimulants activating PKC [ TPA ] , but not agents only mobilizing cellular calcium or increasing cyclic AMP .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,CCK - activation of PAK2 required both high- and low - affinity - CCK1 - receptor - state activation .,"B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"It was partially reduced by PKC- or Src - inhibition , but not with PI3K - inhibitors ( wortmannin , LY294002 ) or thapsigargin .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,"IPA-3 , which prevents PAK2 binding to small - GTPases partially inhibited PAK2 - activation , as well as reduced CCK - induced ERK1/2 activation and amylase release induced by CCK or bombesin .","B,O,O,O,O,O,O,B,I,I,O,O,B,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,B,O,O,O"
8,"This study demonstrates pancreatic acini , possess only one Group - I - PAK , PAK2 .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
9,"CCK and other GI - hormones / neurotransmitters / growth - factors activate PAK2 via small GTPases ( CDC42 / Rac1 ) , PKC and SFK but not cytosolic calcium or PI3K.","O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O"
10,"CCK - activation of PAK2 showed several novel features being dependent on both receptor - activation states , having PLC- and PKC - dependent / independent components and small - GTPase - dependent / independent components .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O"
11,These results show that PAK2 is important in signaling cascades activated by numerous pancreatic stimuli which mediate their various physiological / pathophysiological responses and thus could be a promising target for the development of therapies in some pancreatic disorders such as pancreatitis .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
0,"Regulatory network of inflammation downstream of proteinase - activated receptors .. BACKGROUND : Protease - activated receptors ( PAR ) are present in the urinary bladder , and their expression is altered in response to inflammation .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"PARs are a unique class of G protein - coupled that carry their own ligands , which remain cryptic until unmasked by proteolytic cleavage .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,"Although the canonical signal transduction pathway downstream of PAR activation and coupling with various G proteins is known and leads to the rapid transcription of genes involved in inflammation , the effect of PAR activation on the downstream transcriptome is unknown .","O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,We have shown that intravesical administration of PAR - activating peptides leads to an inflammatory reaction characterized by edema and granulocyte infiltration .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"Moreover , the inflammatory response to intravesical instillation of known pro - inflammatory stimuli such as E. coli lipopolysaccharide ( LPS ) , substance P ( SP ) , and antigen was strongly attenuated by PAR1- and to a lesser extent by PAR2 - deficiency .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,"RESULTS : Here , cDNA array experiments determined inflammatory genes whose expression is dependent on PAR1 activation .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"For this purpose , we compared the alteration in gene expression in wild type and PAR1-/- mice induced by classical pro - inflammatory stimuli ( LPS , SP , and antigen ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O"
7,75 transcripts were considered to be dependent on PAR-1 activation and further annotated in silico by Ingenuity Pathways Analysis ( IPA ) and gene ontology ( GO ) .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,Selected transcripts were target validated by quantitative PCR ( Q - PCR ) .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
9,"Among PAR1 - dependent transcripts , the following have been implicated in the inflammatory process : b2 m , ccl7 , cd200 , cd63 , cdbpd , cfl1 , dusp1 , fkbp1a , fth1 , hspb1 , marcksl1 , mmp2 , myo5a , nfkbia , pax1 , plaur , ppia , ptpn1 , ptprcap , s100a10 , sim2 , and tnfaip2 .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,B,O,O,O,O,O,O"
10,"However , a balanced response to signals of injury requires a transient cellular activation of a panel of genes together with inhibitory systems that temper the overwhelming inflammation .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,"In this context , the activation of genes such as dusp1 and nfkbia seems to counter - balance the inflammatory response to PAR activation by limiting prolonged activation of p38 MAPK and increased cytokine production .","O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
12,"In contrast , transcripts such as arf6 and dcnt1 that are involved in the mechanism of PAR re - sensitization would tend to perpetuate the inflammatory reaction in response to common pro - inflammatory stimuli .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
13,"CONCLUSION : The combination of cDNA array results and genomic networks reveals an overriding participation of PAR1 in bladder inflammation , provides a working model for the involvement of downstream signaling , and evokes testable hypotheses regarding the transcriptome downstream of PAR1 activation .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O"
14,It remains to be determined whether or not mechanisms targeting PAR1 gene silencing or PAR1 blockade will ameliorate the clinical manifestation of cystitis .,"O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,B,O"
0,Protective effect of verapamil on gastric hemorrhagic ulcers in severe atherosclerotic rats .. Studies concerning with pathogenesis of gastric hemorrhage and mucosal ulceration produced in atherosclerotic rats are lacking .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,B,B,O,O,O"
1,"The aim of this study is to examine the role of gastric acid back - diffusion , mast cell histamine release , lipid peroxide ( LPO ) generation and mucosal microvascular permeability in modulating gastric hemorrhage and ulcer in rats with atherosclerosis induced by coadministration of vitamin D2 and cholesterol .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
2,"Additionally , the protective effect of verapamil on this ulcer model was evaluated .","O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,Male Wistar rats were challenged intragastrically once daily for 9 days with 1.0 ml / kg of corn oil containing vitamin D2 and cholesterol to induce atherosclerosis .,"O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,B,I,O,B,O,O,B,O"
4,Control rats received corn oil only .,"O,B,O,O,O,O,O"
5,"After gastric surgery , rat stomachs were irrigated for 3 h with either simulated gastric juice or normal saline .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"Gastric acid back - diffusion , mucosal LPO generation , histamine concentration , microvascular permeability , luminal hemoglobin content and ulcer areas were determined .","O,O,O,O,O,O,O,B,O,O,B,O,O,O,O,O,O,O,O,O,B,O,O,O,O"
7,"Elevated atherosclerotic parameters , such as serum calcium , total cholesterol and low - density lipoprotein concentration were obtained in atherosclerotic rats .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
8,"Severe gastric ulcers accompanied with increased ulcerogenic factors , including gastric acid back - diffusion , histamine release , LPO generation and luminal hemoglobin content were also observed in these rats .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
9,"Moreover , a positive correlation of histamine to gastric hemorrhage and to ulcer was found in those atherosclerotic rats .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
10,This hemorrhagic ulcer and various ulcerogenic parameters were dose - dependently ameliorated by daily intragastric verapamil .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,"Atherosclerosis could produce gastric hemorrhagic ulcer via aggravation of gastric acid back - diffusion , LPO generation , histamine release and microvascular permeability that could be ameliorated by verapamil in rats .","B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,B,O,O,O"
0,"Identification of a novel WFS1 mutation ( AFF344 - 345ins ) in Japanese patients with Wolfram syndrome .. Wolfram syndrome ( WFS ) is an autosomal recessive disorder characterized by early onset diabetes mellitus , progressive optic atrophy , sensorineural deafness and diabetes insipidus .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,B,I,O,O,O,O,O,O,O,O,B,I,O"
1,Affected individuals may also have renal tract abnormalities as well as neurogical and psychiatric syndromes .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
2,WFS1 encoding a transmembrane protein was identified as the gene responsible for WFS .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,"We report herein a Japanese family , of which two members had this syndrome .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"In the WFS1 gene of these patients , we identified a novel mutation , a nine nucleotide insertion ( AFF344 - 345ins ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
5,"In addition , one of these patients had preclinical hypopituitarism , which is an unusual feature of WFS .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,"As only the two family members homozygous for the mutation showed WFS , these data support the notion that this mutation is the cause of WFS .","O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
0,Effect of the abrogation of TGF - beta1 by antisense oligonucleotides on the expression of TGF - beta - isoforms and their receptors I and II in isolated fibroblasts from keloid scars .. Disequilibrium of dermal wound repair can result in continued accumulation of ECM and excessive scar formation .,"O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
1,"In susceptible genetically predisposed individuals , keloid formation can be observed .","O,O,O,O,O,O,O,O,O,O,O,O"
2,Keloid disease represents a benign dermal fibroproliferative tumor that is unique to humans .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O"
3,TGF - beta is known to play a key role in the pathogenesis of this disease which is still not fully understood .,"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
4,"The isoforms TGF - beta1 and TGF - beta2 have profibrotic properties , whereas TGF - beta3 may have antifibrotic functions .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O"
5,"TGF - beta exerts its influence by binding to type I and type II TGF - beta receptors , thereby forming a complex and activating specific downstream effector molecules .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
6,The aim of this study was to investigate the effect of TGF - beta1 targeting by antisense oligonucleotides on the RNA synthesis and protein expression of TGF - beta isoforms and their receptors in keloid - derived fibroblasts .,"O,O,O,O,O,O,O,O,O,O,O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
7,"In tissue samples with normal fibroblasts ( NFs ) serving as control samples , expression of TGF - beta1 and -beta2 was decreased when compared to keloid fibroblasts ( KFs ) , while expression of TGF - beta3 and of TGF - betaRII was significantly higher in NFs .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
8,"In the ELISA assay , abrogation of TGF - beta1 led to a significant decrease in TGF - beta1 and -beta2 ( p<0.05 ) .","O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
